# Super-large sets analysis (sets with size > 6754)
#set_id	chunk_id	basechunk_id
1	8967	2750
1	8975	8967
1	8982	8975
1	8988	8053
1	9349	4290
1	9355	4301
1	9360	9349
1	9365	9355
1	9370	9365
1	9375	9360
1	9380	9360
1	9385	9360
1	9390	9360
1	9401	2793
1	9406	9365
1	9412	9380
1	9422	9380
1	9427	9380
1	9432	9375
1	9652	2750
1	9656	2793
1	9661	9656
1	9666	4277
1	9671	4301
1	9677	9666
1	9682	9677
1	9693	3584
1	9699	9693
1	9704	9693
1	9709	4320
1	9822	5458
1	9829	9406
1	9834	4296
1	9840	9671
1	9846	9829
1	9901	6036
1	9915	9652
1	10055	9693
1	10062	4296
1	10069	10055
1	10077	10069
1	10083	10062
1	10089	10069
1	10117	5600
1	10122	9846
1	10151	6703
1	10264	10117
1	10272	10264
1	10278	6703
1	10292	8967
1	10323	9693
1	10329	10323
1	10334	10323
1	10338	10329
1	10342	10329
1	10346	10334
1	10350	10329
1	10354	10334
1	10358	10346
1	10373	8967
1	10379	8160
1	10384	10379
1	10460	3664
1	10472	4268
1	10475	8031
1	10478	6296
1	10739	3584
1	10766	3856
1	10774	3935
1	10779	10323
1	10875	8967
1	10881	10875
1	10886	10881
1	10892	10886
1	10924	10151
1	10929	6510
1	10934	3664
1	10941	10739
1	10946	10941
1	10956	10062
1	10968	10956
1	10974	10968
1	10979	5322
1	10985	5325
1	10989	8042
1	10992	10989
1	10995	10985
1	10997	10985
1	11009	3584
1	11017	3584
1	11021	11017
1	11029	10460
1	11035	11029
1	11042	11035
1	11047	11021
1	11060	11029
1	11065	11042
1	11070	11060
1	11076	11042
1	11081	9829
1	11094	3259
1	11101	11094
1	11106	11094
1	11110	11094
1	11114	11101
1	11118	11094
1	11125	11106
1	11129	11118
1	11133	11110
1	11145	5322
1	11149	2694
1	11207	3584
1	11214	4485
1	11219	4476
1	11223	11214
1	11229	11207
1	11234	11214
1	11454	8248
1	11500	3259
1	11506	6470
1	11512	11506
1	11517	11506
1	11525	11517
1	11529	11506
1	11534	8165
1	11541	11506
1	11545	11512
1	11549	11517
1	11554	11512
1	11558	11506
1	11562	11549
1	11566	11558
1	11570	11566
1	11576	11558
1	11580	11570
1	11589	11549
1	11593	11549
1	11758	8967
1	11766	11758
1	11772	11766
1	11783	5458
1	11796	11145
